reference_product,n_locations,n_distinct_structures,identical_structure,max_coefficient_of_variation,sector,bucket
"Transport, passenger car, diesel, Large, 2013, EURO-5",2,1,True,0.009392832907129294,04-transport,trivial-template
"Transport, passenger car, diesel, Large, 2016, EURO-6ab",2,1,True,0.008890021121421227,04-transport,trivial-template
"Transport, passenger car, diesel, Large, 2018, EURO-6c",2,1,True,0.009155944166667726,04-transport,trivial-template
"Transport, passenger car, diesel, Large, 2019, EURO-6d-TEMP",2,1,True,0.009202673525700079,04-transport,trivial-template
"Transport, passenger car, diesel, Large, 2021, EURO-6d",2,1,True,0.008566242597961456,04-transport,trivial-template
"Transport, passenger car, diesel, Medium, 2003, EURO-3",2,1,True,0.07945205479452062,04-transport,trivial-template
"Transport, passenger car, diesel, Medium, 2008, EURO-4",2,1,True,0.33333333333333337,04-transport,template-with-variation
"Transport, passenger car, diesel, Large SUV, 2003, EURO-3",2,1,True,0.07993474714518756,04-transport,trivial-template
"Transport, passenger car, diesel, Medium, 2013, EURO-5",2,1,True,0.009445858203859453,04-transport,trivial-template
"Transport, passenger car, diesel, Medium, 2016, EURO-6ab",2,1,True,0.008808021265159402,04-transport,trivial-template
"Transport, passenger car, diesel, Compact, 2008, EURO-4",2,1,True,0.6676885346413244,04-transport,template-with-variation
"Transport, passenger car, diesel hybrid, Large, 2021, EURO-6d",2,1,True,0.008850168005460119,04-transport,trivial-template
"Transport, passenger car, diesel hybrid, Medium, 2013, EURO-5",2,1,True,0.00883973977018627,04-transport,trivial-template
"Transport, passenger car, diesel hybrid, Medium, 2016, EURO-6ab",2,1,True,0.008970582336960986,04-transport,trivial-template
"Transport, passenger car, diesel hybrid, Medium, 2018, EURO-6c",2,1,True,0.00906528730030113,04-transport,trivial-template
"Transport, passenger car, diesel hybrid, Medium, 2019, EURO-6d-TEMP",2,1,True,0.009115117483384581,04-transport,trivial-template
"Transport, passenger car, diesel hybrid, Medium, 2021, EURO-6d",2,1,True,0.009193209499319411,04-transport,trivial-template
"Transport, passenger car, diesel, Compact, 2013, EURO-5",2,1,True,0.6680161943319838,04-transport,template-with-variation
"Transport, passenger car, diesel, Medium, 2018, EURO-6c",2,1,True,0.008845417670687365,04-transport,trivial-template
"Transport, passenger car, diesel hybrid, Compact, 2016, EURO-6ab",2,1,True,0.008528368012011636,04-transport,trivial-template
"Transport, passenger car, diesel, Compact, 2016, EURO-6ab",2,1,True,0.6678346180798879,04-transport,template-with-variation
"Transport, passenger car, diesel, Compact, 2018, EURO-6c",2,1,True,0.6680294358135732,04-transport,template-with-variation
"Transport, passenger car, diesel, Compact, 2019, EURO-6d-TEMP",2,1,True,0.6679076693968726,04-transport,template-with-variation
"Transport, passenger car, diesel, Medium, 2019, EURO-6d-TEMP",2,1,True,0.008864522251257867,04-transport,trivial-template
"Transport, passenger car, diesel, Compact, 2021, EURO-6d",2,1,True,0.667787491593813,04-transport,template-with-variation
